2026-05-28T15:04:35.606593Z	info	FLAG: --concurrency="0"
2026-05-28T15:04:35.606607Z	info	FLAG: --domain="transit.svc.cluster.local"
2026-05-28T15:04:35.606609Z	info	FLAG: --help="false"
2026-05-28T15:04:35.606610Z	info	FLAG: --log_as_json="false"
2026-05-28T15:04:35.606611Z	info	FLAG: --log_caller=""
2026-05-31T14:33:20.851938Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=95
2026-05-31T15:51:41.134802Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=96
2026-05-31T17:04:43.937839Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=97
2026-05-31T18:24:08.757287Z	info	cache	generated new workload certificate	resourceName=default latency=32.895584ms ttl=23h59m59.242715238s
2026-05-31T18:47:21.546260Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=98
2026-05-31T19:51:19.734601Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=99
2026-05-31T21:39:17.046923Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=100
2026-05-31T23:26:37.037344Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=101
2026-06-01T01:45:45.149959Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=102
2026-06-01T03:44:57.517432Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=103
2026-06-01T05:06:48.533933Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=104
2026-06-01T05:48:49.781983Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=105
2026-06-01T06:16:01.488725Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=106
2026-06-01T06:45:29.618028Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=107
2026-06-01T07:17:54.785445Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=108
2026-06-01T07:46:42.799044Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=109
2026-06-01T08:14:02.046613Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=110
2026-06-01T08:42:46.199919Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=111
2026-06-01T09:11:07.463729Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=112
2026-06-01T09:43:40.579647Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=113
2026-06-01T10:12:04.304357Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=114
2026-06-01T10:42:02.016176Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=115
